id,num_views,num_votes,num_comments
343272,1.792089125,0.999002189,0
274860,1.792089125,1.000199571,0.003874934
43608,1.459708156,0.998780025,0.00043526
100942,1.423883198,1.00023943,0.000307674
21015,1.096174718,0.998278709,0
466,1.792089125,0.999498642,0.000750603
335585,1.096174718,0.998278709,0
250306,1.096174718,0.997085713,0
256256,1.792089125,1.000581066,0.000588616
250224,1.096174718,0.997153906,0.002466847
301741,1.096174718,0.998278709,0
216108,1.792089125,0.99880172,0.000606007
362202,1.792089125,0.970866931,0
190462,1.096174718,0.997085713,0
175783,1.792089125,0.970866931,0
334399,1.792089125,0.989079009,0
27350,1.096174718,0.979604575,0.0092989
238341,1.792089125,1.008883374,0.013675115
7193,1.1099964,0.984355527,0
85839,1.792089125,0.99992765,9.43986E-05
239194,1.792089125,0.99992765,9.43986E-05
299998,1.096174718,0.998706314,0
231254,1.792089125,1.006680278,0.000384747
243736,1.423883198,0.998408234,0.000739509
133420,1.792089125,0.999498642,0.000750603
201125,1.096174718,0.998334027,0
306469,1.096174718,0.996231675,0
308620,1.792089125,1.00017698,0.000280329
263315,1.792089125,0.999583926,0.001174934
360025,1.423883198,1.000440225,0.000779581
253072,1.092371927,1.010927606,0.000638489
181947,1.459708156,1.017282858,0
77715,1.792089125,0.99953525,0.000320013
207711,1.096174718,1.001429944,0
275048,1.092371927,1.012867993,0.003385549
268442,1.096174718,0.998168433,0
328501,1.459708156,1.000405958,0
188878,1.459708156,0.999374453,0
51381,1.423883198,0.997870189,0.000972968
88789,1.792089125,0.999398481,0.000348828
115037,1.423883198,0.998618894,0.000898048
261235,1.423883198,0.998618894,0.000898048
385269,1.792089125,1.000056108,0.000626569
195480,1.792089125,1.50228165,0.096353315
328500,1.096174718,0.996548756,0.004054258
277079,1.1099964,1.49678059,0.096086785
410002,0.024529055,1.004879294,0.00794969
279557,1.792089125,1.004420343,0
152238,19.92674092,2.5,0.593402758
270396,1.423883198,0.994690325,0
337988,1.792089125,0.99953525,0.000320013
188812,1.792089125,0.971093212,0.180178849
286241,1.792089125,0.992580365,0.002054204
196371,1.792089125,0.999567737,0.000387547
303293,1.792089125,1.001823879,0
93574,1.096174718,1.001174708,0
28548,19.60507761,2.5,2.674355428
346228,1.792089125,1.000056108,0.000626569
73588,16.7107651,2.5,2.5
374893,11.8623573,2.901902562,0
68342,1.096174718,0.996769986,0
