id,num_views,num_votes,num_comments
343272,0.764029708,0.999002189,0
274860,0.764029708,1.000199571,0.003874934
43608,0.653236052,0.998780025,0.00043526
100942,0.641294399,1.00023943,0.000307674
21015,0.532058239,0.998278709,0
466,0.764029708,0.999498642,0.000750603
335585,0.532058239,0.998278709,0
250306,0.532058239,0.997085713,0
256256,0.764029708,1.000581066,0.000588616
250224,0.532058239,0.997153906,0.002466847
301741,0.532058239,0.998278709,0
216108,0.764029708,0.99880172,0.000606007
362202,0.764029708,0.970866931,0
190462,0.532058239,0.997085713,0
175783,0.764029708,0.970866931,0
334399,0.764029708,0.989079009,0
27350,0.532058239,0.979604575,0.0092989
238341,0.764029708,1.008883374,0.013675115
7193,0.536665467,0.984355527,0
85839,0.764029708,0.99992765,9.43986E-05
239194,0.764029708,0.99992765,9.43986E-05
299998,0.532058239,0.998706314,0
231254,0.764029708,1.006680278,0.000384747
243736,0.641294399,0.998408234,0.000739509
133420,0.764029708,0.999498642,0.000750603
201125,0.532058239,0.998334027,0
306469,0.532058239,0.996231675,0
308620,0.764029708,1.00017698,0.000280329
263315,0.764029708,0.999583926,0.001174934
360025,0.641294399,1.000440225,0.000779581
253072,0.530790642,1.010927606,0.000638489
181947,0.653236052,1.017282858,0
77715,0.764029708,0.99953525,0.000320013
207711,0.532058239,1.001429944,0
275048,0.530790642,1.012867993,0.003385549
268442,0.532058239,0.998168433,0
328501,0.653236052,1.000405958,0
188878,0.653236052,0.999374453,0
51381,0.641294399,0.997870189,0.000972968
88789,0.764029708,0.999398481,0.000348828
115037,0.641294399,0.998618894,0.000898048
261235,0.641294399,0.998618894,0.000898048
385269,0.764029708,1.000056108,0.000626569
195480,0.764029708,1.50228165,0.096353315
328500,0.532058239,0.996548756,0.004054258
277079,0.536665467,1.49678059,0.096086785
410002,0.174843018,1.004879294,0.00794969
279557,0.764029708,1.004420343,0
152238,8.975580306,2.5,0.593402758
270396,0.641294399,0.994690325,0
337988,0.764029708,0.99953525,0.000320013
188812,0.764029708,0.971093212,0.180178849
286241,0.764029708,0.992580365,0.002054204
196371,0.764029708,0.999567737,0.000387547
303293,0.764029708,1.001823879,0
